138,"Morupule B Power Project ","Botswana","AFDB Project P-BW-FA0-001. Four 150 MW circulating fluidized bed combustion units fueled by coal from Morupule Collieries which supplies adjacent Morupule A stations from mines in vicinity. EPC contract for construction awarded to China National Electric Equipment Corporation and Shenyang Blower Works. Implementing Agency: Botswana Power Corp. Contract effective 2009-04-29. Loan approved 2009-10-28. Amounts in Euros: ADB EUR 132,489,327. Government 125,561,781. Co-financier 602,696,547. Delta 3,295. Total 860,744,360.","","","75","Coal"
139,"Ain Sokhna Thermal Power Project","Egypt","","The expected output will be a 1300 MW thermal power station that will feed power to the UPS. NOTE 2010 August: This record should be deleted; record 1174 is more up-to-date. ","","1139","Oil and gas"
140,"El Kureimat Cc Power Plant Project","Egypt","","","","1140","Oil and gas"
141,"Sungas LPG Distribution Network","Afghanistan","ADB project 40921. The Project involves building the first phase of a nationwide Liquid Petroleum Gas (LPG) storage and distribution network in Afghanistan.","","","1063","Oil and gas"
142,"Talimarjan Power Project (formerly CASAREM-Talimarjan Energy Development Project)","Uzbekistan","ADB Project 43151. Construction of new 2x400 MW Combined Cycle Gas Turbines; new Talimarjan-Sogdiana 500 kV Transmission Line; and Talimarjan new 500 kV substation. The Project will improve energy efficiency through clean power generation, enhance regional connectivity and improve power sector performance. Expand the capacity of the Talimarjan Thermal Power Plant by about 800 MW using combined-cycle gas turbine technology. Ordinary Capital Resources (loan # 2629 Project Number  43151- 02) US$340 million. Asian Development Fund: US$10 million. CASAREM-Talimarjan Power, Technical Assistance Special Fund US$1.5 million (TA #7350, Project #43151- 01) approved 2009-09-21. Asian Development Fund US$10 million Board approved 2010-04-03 (Project # 43151-02).","","","965","Oil and gas"
143,"Janub Thermal Power Plant ","Azerbaijan","ADB Project Loan: 43406-01. Approved June 22, 2010. Government-owned Azerenerji Joint Stock Company is responsible for electricity production, transmission, and distribution in Azerbaijan which includes 10 thermal power plants and 4 hydro power plants. Total installed capacity in 2007 was 5,442 MW. At request of Azerenerji, Alstom Power Company is constructing a new 240 MW combined-cycle unit. After commissioning this unit, one of the old thermal power units will be taken out of operation. The cost of this project is about $140 million and repayment period will be 7 years. Subsequent plan involves replacement through construction of Janub 760 MW combined cycle plant with General Electric MS9001E gas turbine. The Janub Thermal [gas-fired] Power Plant Project will be located close to the existing facility (Ali-Bairamly Thermal Power Plant) of the existing infrastructure such as overhead lines, gas pipeline, access roads, railway, etc. Azerenerji, with the guarantee of Government of Azerbaijan, has raised over half the financing through commercial banks and has requested the ADB to fill the financing gap that commercial bank financing could not fulfil due to global financial crisis. Guarantee Support for Janub Thermal Power Plant Project, Amount US$232 million.  ","For approval date, see: http://www.adb.org/Projects/approvals.asp?query=&browse=1&p=ctryaze&ctry=AZE&year=ALL&offset=0&fld=1&srt=-1","","1014","Oil and gas"
144,"PNG Gas Project","Papua New Guinea","ADB project 39584. Technical Assistance: 39584-02 [Proposed] TA (for approval in 2008): Gas Project (Supplementary) Technical Assistance Special Fund, US$0; Japan Special Fund, US$1.5 million; Approval 15 Dec 2008.","","","1142","Oil and gas"
145,"Soc Trang 2 Thermal Power Plant","Vietnam","ADB Project 42083- 01 includes resettlement. The Mong Duong Thermal Power Project was approved in 2007. Stakeholders include Japan Bank for International Cooperation (JBIC), World Bank, Ministry of Industry and Trade (MOIT), State Bank of Viet Nam, Ministry of Finance and Viet Nam Electricity. Proposed Japan Special Fund, US$1.2 million, for Approval 10 Oct 2008.","","","1143","Coal"
146,"Porto Primavera Transmissora de Energia Ltda. (PPTE) ","Brazil","MIGA Project 6157. Project description: MIGA has issued guarantees of $20.6 million to Cobra Instalaciones y Servicios S.A. (Cobra) of Spain to cover its $22.9 million equity investment in a transmission line project in Brazil. The coverage is against the risk of breach of contract and transfer restriction for up to 15 and 10 years, respectively.

The PPTE project consists of the construction and operation of two 230-kV transmission lines, both originating from a new substation in the Municipality of Rosana (State of São Paulo) but ending at two different existing substations: one near Dourados and the other near Campo Grande, both in the State of Mato Grosso do Sul. The new substation (Porto Primavera) is being built on Ilha do Bananal, near the left (southeast) bank of Rio Paraná on 8 hectares within the existing Porto Primavera (also known as Engenheiro Sérgio Motta) hydroelectric complex on the Rio Paraná, located just upstream of the confluence with the Rio Paranapanema, in the Municipality of Rosana. The project will be an inter-connector between the Central West and the Southeast Regional grids.
","I chose the most relevant part of the text in the word document.","","","Transmission and distribution - Fossil Fuel"
147,"Itumbiara Transmissora de Energia Ltda. (ITE)","Brazil","MIGA Project 6152. Project description: MIGA has issued guarantees of $35.4 million to Cobra Instalaciones y Servicios S.A. (Cobra) of Spain to cover its $39.2 million equity investment in a transmission line project in Brazil. The coverage is for fifteen years against the risk of breach of contract, and up to 10 years against the risk of transfer restriction.

The ITE project consists of the construction and operation of a 500-kV transmission line from the existing Itumbiara substation in the Municipality of Araporã (State of Minas Gerais) to the existing Cuiabá substation in the Municipality of Cuiabá (State of Mato Grosso). The project will be an interconnector between the North-Northeast, North Central West, and the Southeast regions’ grids.
","","","","Transmission and distribution - Fossil Fuel"
148,"Termoguayas Generation S.A.","Ecuador","MIGA Project 6353. Project description: MIGA has provided $102.6 million in investment insurance to Rodeo Power Pte. Ltd. (Rodeo) and New Energy Industrial Ltd. (New Energy), wholly owned subsidiaries of Keppel Energy Pte. Ltd. (Keppel Energy). Rodeo and New Energy have respectively provided a shareholder loan for five years and equipment leases of seven years to Termoguayas Generation S.A. (TGSA), another wholly owned subsidiary of Keppel Energy. TGSA, the project enterprise, has entered into a 15-year concession contract with the National Electricity Council of Ecuador. MIGA’s insurance covers against the risks of transfer restriction, expropriation, and breach of contract over the period of the loan and leases.

Keppel Energy, through TGSA, has installed and is operating a 150 MW barge power project in Guayaquil, Ecuador. TGSA leases the project assets from New Energy, which consist of five barges mounted with engines and generator sets and shore-based support facilities, including fuel storage tanks, an electrical switchyard, and a 230-kV transmission line connecting the project to the national grid.
","","","","Oil and gas"
149,"Umeme Limited ","Uganda","MIGA Project 4887. Project description:  MIGA has issued a guarantee of $39.6 million to Globeleq Holdings (ConCo) Limited of Bermuda, covering its equity investments in and shareholder loan to Umeme Limited of Uganda. This is a modification of a previous contract signed in FY05. The modification of the previous contract reflects the restructuring of this project due to current power sector problems in Uganda. The guaranteed percentage is 90 percent for both the equity and shareholder loans. The modification is for a period of 18 years and two months against the risks of transfer restriction, breach of contract, and war and civil disturbance.

The project involves the operation of the electricity distribution system in Uganda. The government of Uganda leases the electricity grid to the joint venture partners (Globeleq and Eskom) in exchange for periodic lease payments. In turn, Umeme buys bulk electricity from the government-owned transmission company, UETCL, under an agreed tariff arrangement.

Umeme and the government of Uganda have negotiated a new agreement on required energy supply levels for 2007-2013, as well as an agreement on how to share the risk (and benefits) related to losses and collections.
","","","","Transmission and distribution - Fossil Fuel"
150,"Hydelec Madagascar S.A. ","Madagascar","MIGA Project 4597. Project description:  MIGA has issued a guarantee of $19.89 million to Energy Engineering Investment Limited of Mauritius, covering its equity investment in and shareholder loans to Hydelec Madagascar S.A. The coverage is for up to 15 years and covers the risks of war and civil disturbance, transfer restriction, and expropriation.

The project consists of financing, building and operating a run-of-river 15 MW hydro power facility located on the Sahanivotry river, 30 km south of Antsirabe, in the province of Antanarivo in Madagascar. The facility will function as a base load plant to feed the Antanarivo and Antsirabe grid, which suffers from chronic power cuts and load shedding. The expected generation cost of 4.8 c/kWh is lower than the cost of electricity currently produced by many existing thermal power plants.  The project will be implemented under a 30-year concession agreement. Electricity generated will be sold under a 10-year power purchase agreement signed between JIRAMA—the state-owned electricity company—and the project enterprise. ","","","","Large hydropower (over 10 MW)"
151,"OrPower 4, Inc. ","Kenya","MIGA Project 3658. Project description: MIGA has issued a guarantee of $88.3 million to Ormat Holding Corp., a Cayman Islands-registered subsidiary of Ormat Technologies, Inc., for its $98.1 million equity investment in OrPower 4, Inc. in the Republic of Kenya. The coverage is for up to 15 years and covers the risks of war and civil disturbance, transfer restriction, and expropriation. This issuance replaces an earlier guarantee issued by the agency to cover investments into the first phase of the project only. The expanded guarantee covers both the first phase of the project and the investor’s additional investments of $50 million for the second phase.

The project consists of the design, construction, management and operation of a base-load geothermal power plant with a combined capacity of 48MW on a Build-Own-Operate basis in the Olkaria geothermal fields of the Rift Valley, 50 kilometers northwest of Nairobi. Electricity generated by the plant will be sold under a 20-year power purchase agreement with the national power transmission and distribution utility in the country—the Kenya Power & Lighting Company Limited.
","","","","Geothermal"
152,"Serra da Mesa Transmissora de Energia S.A. ","Brazil","MIGA Project 6676. Project description:  MIGA has issued a guarantee of € 20.9 million ($33 million equivalent) to Cobra Instalaciones y Servicios S.A. of Spain to cover its equity investment in the Serra da Mesa Transmissora de Energia project in Brazil. The coverage is for a period of up to 15 years against the risks of transfer restriction and breach of contract.

The project consists of the construction, operation, and maintenance of a total of 675 kilometers of 500 kV transmission lines along the north-south axis of the country. The new lines will stretch from the Serra da Mesa hydropower plant on Rio Tocantins in the State of Goiás to the Embrocação hydropower plant on the Rio Paranaíba. The project also includes the construction of two new substations, one near the municipality of Luziâna in the State of Goiás, and the other near the Municipality of Paracatú in the State of Minas Gerais.
","","","","Transmission and distribution - Fossil Fuel"
153,"Cape Verde Wind Project ","Cape Verde","MIGA Project 8092. Project description:  InfraCo has applied for MIGA guarantees of an aggregate amount of up to $127.9 million, for a period of up to 20 years, against the risk of breach of contract.

The Cape Verde Wind Farm Project comprises the development, construction, ownership, and operation of a wind farm in Cape Verde with approximately 28 MW installed capacity. The project will be one of the largest wind farms to be developed in Africa and a high-profile entry to the African renewable energy sector for potential investors. MIGA’s guarantee is being requested for €35 million of non-shareholder loans plus €17 million of interest and €23 million of shareholder loans (or equity) plus €22 million of interests (or earnings, in case that equity were to be guaranteed).
","","","","Wind"
154,"KivuWatt Ltd. ","Rwanda","MIGA Project 7840. Project description:  Guarantee for ContourGlobal (CG) of the United States for its equity investment, and/or shareholder loans, and/or loan guarantee in KivuWatt Ltd. The total project cost for Phase 1 is approximately $139 million. The investment is for the construction and operation of a 25 megawatt power-generation facility using methane gas extracted from Lake Kivu pursuant to a concession agreement between CG and the government of Rwanda (the Phase 1 Pilot Project). CG has applied for a MIGA guarantee of up to $99 million for a period of up to 20 years against the risks of expropriation, transfer restriction, war and civil disturbance, and breach of contract.

The entire project (Phase 1 and Phase 2) involves extraction and separation of methane gas from the bottom of Lake Kivu and up to 100 megawatts of power-generation capacity to be implemented in two phases. The Phase 1 Pilot Project will involve gas extraction using a floating barge located approximately 13 kilometers offshore from the city of Kibuye. The extracted gas will be further processed and pumped to the shore for use in a power plant via submerged floating pipeline. Power will be produced by methane powered reciprocating engine generator sets with combined capacity of 25 megawatts, net output. Based on successful implementation of Phase 1, Phase 2 will comprise three additional gas extraction barges and three more power production blocks with 75 megawatt capacity resulting in 100 megawatts of overall power generation.

The output will be sold to the Rwandan state-owned utility, Rwanda Electricity Corporation (RECO), formerly known as Electrogaz. Phase 1 output will be connected to the national grid via a new dedicated 11 kV transmission line installed by RECO.  Phase 2 will be connected to the existing 220 kV transmission system via two new transformers to be installed by RECO.
","","","","Coal bed methane"
155,"Takoradi Power Project ","Ghana","MIGA Project 8425. Project description:  Investment by Société Générale Canada Branch (SGCB) in its subsidiary in Ghana, SG-SSB Limited, which will on-lend funds to finance the completion of Ghana’s Takoradi Power Plant. SBCB has applied for a MIGA guarantee of $40 million for a period of up to 14 years against the risk of non-honoring of sovereign financial obligations.

The project, located within the existing Takoradi T1/T2 power plant complex in the Ghanaian district of Sharma Ahanta East, will expand the existing combined cycle gas turbine power generation facility. The proposed expansion will furnish power to the national grid during peak demand and provide base load capacity in times of low water levels when hydroelectric generation is affected. 
","","","","Oil and gas"
156,"Small hydropower feasibility studies","Nepal","The objective is to Contribute to economic and social development in rural areas. NOK 10,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Government of Nepal. Project period 2004 – 2011.","Assume small hydro because of name of project. Have not verified size in MW.","","","Small hydro (less than 10 MW)"
157,"Renewable Nepal","Nepal","The purpose of Renewable Nepal is to build applied research capacity at Nepalese universities and
research institutions that can serve the Nepalese energy industry. Renewable Nepal is based on the model of Research Council of Norway’s 'Renergi” program. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Kathmandu University. Project period 2009 – 2013.
","Not sure about total budget. For FY2009 NOK 843,000.",NULL,NULL,NULL
158,"Turbine Laboratory at Kathmandu University","Nepal","Build applied research and development capacities at Nepalese universities in order to serve the industry and private sector system analysis. NOK 4,600,000. Norwegian Agency for International Development’s Clean Energy for Development program. Beneficiary is Kathmandu University. Project period 2009 – 2010.",NULL,NULL,NULL,NULL
159,"Feasibility study for a twinning arrangement between NEA and Statnett","Nepal","The objectives are i) to examine to what extent there is a basis for long term cooperation between Nepal Electricity Authority (NEA) and Statnett, and ii) the twinning arrangement will provide assistance to NEA in different areas to improve its capability and capacity (issues on transmission capacity development, transmission system operation, strengthening of the capability and capacity to participate in regional power cooperation and increasing NEA ’s capacity in power system analysis). Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Nepal Electricity Authority (NEA). Project period 2009 – 2010.","Not sure about total budget. For FY2009 NOK 1,500,000.","","","Transmission and distribution - Clean"
160,"Pro-Poor Hydro Power","Nepal","Enable the rural poor to obtain profitable ownership of their local water resources. Pro-Poor Hydro Power aims at enable poor people to own their water resources. The local poor will be enabled to invest through proportionate labor contribution, grants and soft loan mechanisms. NOK 6,500,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the People, Energy & Environment Development Association. Project period 2008 – 2010. ","Small hydro, indirectly","","","Small hydro (less than 10 MW)"
161,"Electrification Zanzibar phase IV","Tanzania","Electrification of villages on the two main islands of Zanzibar, Unguja and Pemba. NOK 45,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Revolutionary Government of Zanzibar, through the Ministry of Finance of the United Republic of Tanzania. Project period 2007 – 2009. ","","","","Transmission and distribution - Clean"
162,"Integrated Modern Energy Services for Sustainable Development and Poverty Reduction programme (IMESPORE)","Tanzania","The objective is to facilitate up-scaling of access to sustainable energy technologies and services. NOK 10,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Tanzania Traditional Energy Development and Environment Organisation (TaTEDO). Project period 2007 – 2010. ","","","","Transmission and distribution - Clean"
163,"Electrification Pemba – implementation phase, subsea cable","Tanzania","The purpose of the project is to have a least cost reliable supply of electricity on Pemba meeting demand for 20-25 years to come. NOK 300,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Revolutionary Government of Zanzibar. Project period 2008 – 2011.","","","","Transmission and distribution - Clean"
164,"Institutional Co-operation between TANESCO and Statnett","Tanzania","The objective is to achieve a customer-oriented and improved transmission system operator, single buyers function and improved corporate efficiency. NOK 37,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with TANE SCO. Project period 2009 – 2014.","NOK 37 million (NOK 22 million for phase I and NOK 15 million for
optional phase II)","","","Transmission and distribution - Clean"
165,"Norwegian support for implementation of small hydropower projects in Tanzania ","Tanzania","The objective of this study is to assess four small hydropower projects and recommend one or two for further implementation based on their feasibility. The projects have all previously been studied at a reconnaissance/prefeasibility level:
- Pinyinyi hydropower project in the Ngorongoro district of Arusha region.
- Mtambo hydropower project in the Mpanda district of Rukwa region.
- Nzowve hydropower project in the Sumbawanga district of Rukwa region.
- Kwitanda hydropower project in the Tunduru district of Ruvuma region.

NOK 825,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Rural Energy Agency. Project period June 2009 – March 2010.","Study, not implementation","","","Small hydro (less than 10 MW)"
166,"Makambako Wind Park","Tanzania","Feasibility study for a possible establishment of a 100 MW wind park in Makambako. NOK 1,108,943. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Sino-Tan Renewable Energy Limited. Project period 2006 – 2009.","Might be scaled up to 2,217,886. Studym not implementation","","","Wind"
167,"Institutional cooperation within the power sector, phase three","Timor-Leste","- The overall goal of phase three of the program is to contribute to the economic and social development of Timor-Leste.
- The purpose of phase three of the program is to improve significantly the general efficiency and effectiveness of power and water resource management in Timor-Leste by 2014.

NOK 50,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Ministry of Infrastructure. Project period 2009 – 2014.",NULL,NULL,NULL,NULL
168,"Bugoye 13 MW hydro power plant completed in 2009","Uganda","The objective is to help meet the energy needs of the Ugandan population to promote environmentally sustainable social and economic development. Approximately NOK 360,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Ministry of Finance, Planning and Economic Development. Project period 2006 – 2009.

Lender: The Emerging Africa, Infrastructure Fund (EAIF). GIEK (political risk guarantee provided to Tronder Energi, Norwgian company which is a commercial investor in the project).
","Not sure how much is provided på Norad. Information in Annual Report:

'Approximately NOK 360 million (including working capital and financial costs during construction), comprising approximately NOK 112 million of equity, approximately NOK 96 million loan and approximately NOK 50 million development grant.”","","","Large hydropower (over 10 MW)"
169,"UETCL capacity building. Twinning UETCL – Statnett phase II","Uganda","The objectives are to i) contribute to the provision of sufficient and sustainable electricity to Uganda and the region, and ii) make UETCL more efficient in its function both as a single buyer and as a transmission system operator in fulfilling its public service obligations. NOK 14,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with UECTL. Project period 2009 – 2010.",NULL,NULL,NULL,NULL
170,"Feasibility studies of six rural electrification projects","Uganda","Facilitate the required feasibility studies and tender documents as a basis for further development of the six rural electrification projects. NOK 5,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Rural Electrification Agency. Project period 2009 – 2010.",NULL,NULL,NULL,NULL
171,"Feasibility study of the Karuma interconnection project","Uganda","The objective is to enable the Government of Uganda to prepare for the financing and construction of the Karuma interconnection project. NOK 14,600,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with UETCL. Project period 2008 – 2010.","","","","Transmission and distribution - Clean"
172,"Feasibility study of a Transmission line, Hoima-Kafu","Uganda","The objective is to contribute to increasing the electrification level in Uganda and to improving the opportunities for increased social welfare, education, health and income generation. NOK 7,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with UETCL. Project period 2010 – 2011.",NULL,NULL,NULL,NULL
173,"Feasibility study of Isimba Hydropower Project","Uganda","The objective is to contribute to increasing the electrification level in Uganda and to improving the opportunities for increased social welfare, education, health, and income generation. Furthermore, to facilitate the required planning process and prepare documents for construction tendering. NOK 18,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Ministry of Energy and Mineral Development. Project period 2009 – 2011.","Study, not implementation",NULL,NULL,NULL
174,"Biomass thermal power – Solør Bioenergi AS","Bangladesh","The project includes a feasibility study in relation to the possible establishment of a biomass-based thermal power plant, aiming to map relevant technical and commercial aspects, i.e. ability to produce sustainable and stable power for main tea producer and people living on the plantation. The Norwegian Agency for International Development’s Clean Energy for Development initiative approved for support of NOK 1.93 million (70 % of budget) which was disbursed in 2009. Beneficiary is Solor Bioenergi AS.","Final decision on investment not confirmed.","","","Biomass"
175,"Solar power plant – Solør Bioenergi Holding AS","Bangladesh","Feasibility study to map all relevant technical and commercial aspects related to establishment of a solar power plant (in cooperation with Renewable Energy Corporation ASA). The Norwegian Agency for International Development’s Clean Energy for Development initiative has approved to support NOK 150, 000 (60 % of approved budget), not completed in 2009. Beneficiary is Solor Bioenergi Holding AS. ","","","","Solar"
176,"Green telecom base-stations – Scatec Solar","Bangladesh","Feasibility study for an investment program replacing fossil fuel (diesel) with solar energy at telecom base stations in Bangladesh. The Norwegian Agency for International Development’s Clean Energy for Development initiative has approved to give NOK 445,000 (50 % of approved budget). The study will be conducted in 2010. Beneficiary is Scatec Solar.","","","","Solar"
177,"Coal Plant Refurbish and Modernization","India","Project ID: P100531 | Project Status: Active: The objective of the Coal Fired Generation Rehabilitation Project for India is to improve energy efficiency of selected coal-fired power generation units through renovation and modernization (R&M) and improved operations and maintenance (O&M). The global environmental objective of the project is the reduction of greenhouse gas emissions through energy efficient rehabilitation of coal-fired power plants. There are two components to the project, the first component being Energy Efficient Renovation and Modernization (EE R&M) pilots. This component will renovate and modernize 640 Mega Watts (MW) of old coal-fired power generation capacity to demonstrate energy efficient rehabilitation approaches. Energy efficient R&M of generation units will go beyond the typical Indian practice, of restoring original generation capacity, life-extension, and improving availability, by also modifying (or replacing) some equipment and systems to enable the unit to operate with higher fuel efficiency. This component will also explore and demonstrate approaches for successful implementation of R&M projects (with a focus on energy efficiency) by addressing barriers, including through early identification and mitigation of risks. Finally, the second component is the technical assistance. The technical assistance component of the project is aimed at providing support in implementation of EE R&M pilots, developing a pipeline of EE R&M interventions, addressing barriers to EE R&M projects and strengthening institutional capacities of implementing agencies for improved operation and maintenance practices.","","","","Coal"
178,"Coal Plant Refurbish and Modernization","India","Project ID: P100101 | Project Status: Active: The objective of the Coal Fired Generation Rehabilitation Project for India is to improve energy efficiency of selected coal-fired power generation units through renovation and modernization (R&M) and improved operations and maintenance (O&M). The global environmental objective of the project is the reduction of greenhouse gas emissions through energy efficient rehabilitation of coal-fired power plants. There are two components to the project, the first component being Energy Efficient Renovation and Modernization (EE R&M) pilots. This component will renovate and modernize 640 Mega Watts (MW) of old coal-fired power generation capacity to demonstrate energy efficient rehabilitation approaches. Energy efficient R&M of generation units will go beyond the typical Indian practice, of restoring original generation capacity, life-extension, and improving availability, by also modifying (or replacing) some equipment and systems to enable the unit to operate with higher fuel efficiency. This component will also explore and demonstrate approaches for successful implementation of R&M projects (with a focus on energy efficiency) by addressing barriers, including through early identification and mitigation of risks. Finally, the second component is the technical assistance. The technical assistance component of the project is aimed at providing support in implementation of EE R&M pilots, developing a pipeline of EE R&M interventions, addressing barriers to EE R&M projects and strengthening institutional capacities of implementing agencies for improved operation and maintenance practices.","","Coal","","Coal"
179,"Programmatic Electricity Development Loan Program","Turkey","Project ID: P110643: The First Programmatic Electricity Development Policy Loan Program (PEDPL-1) for Turkey supports the implementation of the Government's program for the electricity sector. The Second Programmatic Electricity Development Policy Loan (PEDPL-2) will build upon the initial implementation of the program. The loan is one of the cornerstones of the Country Partnership Strategy (CPS) FY08-11 which fully integrates the Bank's activities for FY08-11 into the Government's ninth development plan. Measures undertaken by the Turkish administration and supported under the program are expected to contribute to sustaining the growth experienced by Turkey since 2002, generating employment, supporting the competitiveness of Turkish industry, and improving the living standards of its people. The program carries several risks. From the macroeconomic side, Turkey faces economic challenges as a result of the global financial crisis. In particular, high external financing needs, mainly in the private sector, make Turkey vulnerable to persisting international illiquidity and capital outflows. While a single-party Government with a strong parliamentary majority creates a favorable environment for reform, some political risks to the program remain, including: (i) continuing domestic political differences; and (ii) geopolitical events in neighboring regions. On the program side, all PEDPL-1 supported reforms have been implemented, and the risk of reversal is low. However, there are sector specific risks: delays in implementation of the remaining envisaged reforms, delays in attracting private investment, slow progress of energy efficiency measures contributing to continuing high electricity demand growth, and external developments that result in the policy actions failing to achieve a significant level of improvement in the electricity supply demand imbalance","","","","Oil and Gas"
180,"Nigeria Electricity and Gas Improvement Project (NEGIP)","Nigeria","Project ID: P114277: The development objectives of the Electricity and Gas Improvement Project for Nigeria is to: (i) improve the availability and reliability of gas supply to increase power generation in existing public sector power plants; and (ii) improve the power network's capacity and efficiency to transmit and distribute quality electricity to the consumers. There are three components to the project. The first component being risk mitigation through a series of Partial Risk Guarantee (PRGs) in support of gas supplies to increase power generation from existing public sector power plants. The second component is the enhancement of transmission and distribution infrastructure. This component will reinforce of distribution networks to increase electricity supply in selected cities including Kano, Kaduna, Eko, Ikeja, Ibadan, Abuja, Benin, Port Harcourt, Yola, Jos; and Enugu. Finally, the third component is the technical advisory services. Provision of logistical support and technical advisory services required to sustain ongoing reforms undertaken by the recipient to improve the performance of its power sector including: a) design of gas infrastructure and transmission and distribution systems needed to handle expected increases in power supply; and b) formulation and execution of community outreach activities including a communication program to foster and to sustain open and continuous dialogue amongst all relevant stakeholders about the project.","","","","Gas"
181,"Nigeria Electricity and Gas Improvement Project (NEGIP)","Nigeria","Project ID: P106172: The development objectives of the Electricity and Gas Improvement Project for Nigeria is to: (i) improve the availability and reliability of gas supply to increase power generation in existing public sector power plants; and (ii) improve the power network's capacity and efficiency to transmit and distribute quality electricity to the consumers. There are three components to the project. The first component being risk mitigation through a series of Partial Risk Guarantee (PRGs) in support of gas supplies to increase power generation from existing public sector power plants. The second component is the enhancement of transmission and distribution infrastructure. This component will reinforce of distribution networks to increase electricity supply in selected cities including Kano, Kaduna, Eko, Ikeja, Ibadan, Abuja, Benin, Port Harcourt, Yola, Jos; and Enugu. Finally, the third component is the technical advisory services. Provision of logistical support and technical advisory services required to sustain ongoing reforms undertaken by the recipient to improve the performance of its power sector including: a) design of gas infrastructure and transmission and distribution systems needed to handle expected increases in power supply; and b) formulation and execution of community outreach activities including a communication program to foster and to sustain open and continuous dialogue amongst all relevant stakeholders about the project.","","","","Gas"
182,"Environmental Management and Capacity Building II Additional Finance","Government of Uganda","Project ID: P111366: The objective of the Second Environmental Management Capacity Building Project (EMCBP II) for Uganda is to contribute to sustainable management of environmental and natural resources at the national, district, and community levels. The additional credit will finance an extension of EMCBP II until November 30, 2011, to scale up activities and enhance the positive impacts of the existing project. The proposed scaled up activities include: (i) expansion of municipal solid waste (MSW) composting in 8 Ugandan towns to permit them to participate in carbon trade and to address a pressing local environmental problem; (ii) expansion of tree planting on denuded national forest lands; (iii) enhancement of enforcement capacity within National Environmental Management Authority (NEMA) to address priority environmental issues; and (iv) investment in priority environmental regulations, monitoring equipment and training relating to the rapidly expanding petroleum and gas sector in Uganda.","","","","Oil and Gas"
183,"Delta Petroleum","Turkey","Project number 25395. Company name: Delta Petrol Urunleri Ticaret Anonim Sirketi. Project description:
The project entails a $45 million corporate loan to Delta Petrol Urunleri Ticaret A.S (Delta). The proceeds of the loan will be used:
- to expand the company’s current 300,000 m3 Dortyol Petroleum Products Storage Terminal, through the construction of an additional 300,000m3 of capacity, in addition to a jetty with three berthing stations, with capacity to load and discharge vessels of up to 165,000 dwt; and
- to expand Delta's petroleum products distribution network, through its 'Gulf” branded service stations.","","","","Oil and Gas"
184,"Fifth Power System Development Project","India","Project ID: P115566: The objective of the Fifth Power System Development Project for India is to strengthen India's electricity transmission system in order to increase reliable power exchange between regions and states. The project will consist of one component, namely regional transmission schemes for strengthening of Western, Northern and Southern region transmission systems, and the inter-regional power exchange for the national grid. Indeed, the first three schemes are being constructed to meet the demand in the Western and Northern regions where the Sasan Ultra Mega Power Project (UMPP) and Mundra UMPP are physically located. Both plants are expected to be commissioned in 2012-13, to facilitate the exchange of power between regions, the transmission networks have to be strengthened in the Western, Northern and Central part of the national grid system, as the difference in demand profiles across regions requires large bulk power transfers over short periods of time and the transmission networks need to have significant available transfer capacity to sustain these. Fourth scheme will meet the power demand within southern region and will transfer the power to load centers in the Western region. The fifth scheme, the South-West interconnection, will transfer power surpluses in the Southern region to deficit regions in the Western region.","","","","Transmission and distribution - Fossil Fuel"
